guess,totalgreen,totalyellow,greenrank,yellowrank
DRIPS,534,1577,#2396,#1384
DRIVE,861,1493,#316,#1687
DROLL,729,1273,#890,#2364
DRONE,972,1728,#92,#909
DROOP,620,1144,#1760,#2620
DROPS,542,1613,#2346,#1265
DROSS,641,1303,#1583,#2273
DROVE,869,1529,#292,#1558
DROWN,594,1420,#1954,#1943
DRUGS,490,1456,#2631,#1828
DRUMS,483,1456,#2672,#1828
DRUNK,621,1205,#1752,#2497
DRYLY,665,1032,#1354,#2807
DUCAL,501,1655,#2577,#1138
DUCAT,579,1616,#2076,#1259
DUCHY,513,1025,#2510,#2817
DUCKS,319,1237,#3069,#2441
DUCTS,379,1556,#3004,#1460
DUELS,483,1904,#2672,#510
DUETS,467,1959,#2754,#398
DUKES,466,1581,#2758,#1372
DULLY,646,798,#1545,#3023
DUMMY,542,597,#2346,#3079
DUMPS,306,1239,#3081,#2435
DUMPY,522,852,#2462,#2999
DUNCE,765,1433,#701,#1904
DUNES,561,1752,#2215,#840
DUNNO,499,1088,#2586,#2720
DUPED,563,1142,#2203,#2625
DUPES,497,1647,#2596,#1166
DUSKY,541,959,#2359,#2906
DUSTY,601,1278,#1905,#2351
DWARF,511,1427,#2523,#1921
DWELL,491,1306,#2624,#2267
DWELT,569,1702,#2171,#987
DYING,452,1251,#2809,#2415
DYKES,350,1642,#3049,#1185
EAGER,704,1829,#1077,#657
EAGLE,795,1587,#546,#1350
EARLS,551,2569,#2289,#3
EARLY,767,2182,#693,#106
EARNS,571,2475,#2162,#7
EARTH,616,2395,#1786,#20
EASED,648,1744,#1526,#860
EASEL,682,1916,#1222,#488
EASES,582,1562,#2057,#1437
EATEN,681,1921,#1229,#477
EATER,740,2087,#834,#207
EAVES,571,1651,#2162,#1154
EBBED,427,1013,#2897,#2833
EBONY,650,1606,#1506,#1291
EDGED,438,1039,#2856,#2794
EDGES,372,1544,#3020,#1509
EDICT,577,1887,#2105,#540
EDIFY,537,1503,#2379,#1656
EERIE,844,1232,#370,#2452
EGGED,433,1042,#2871,#2789
EIGHT,473,1909,#2721,#502
EJECT,502,1329,#2573,#2198
ELATE,915,1761,#163,#818
ELBOW,351,1840,#3046,#634
ELDER,639,1722,#1597,#929
ELECT,648,1653,#1526,#1146
ELEGY,638,1313,#1606,#2243
ELFIN,446,1936,#2830,#446
ELITE,850,1603,#346,#1298
ELOPE,787,1428,#583,#1915
ELUDE,729,1326,#890,#2208
ELVES,496,1505,#2603,#1650
EMAIL,598,2146,#1926,#142
EMITS,407,2116,#2943,#172
EMPTY,469,1642,#2740,#1185
ENACT,699,2120,#1114,#166
ENDED,505,1153,#2552,#2608
ENDOW,292,1908,#3089,#503
ENEMY,556,1314,#2250,#2239
ENJOY,467,1608,#2754,#1282
ENNUI,300,1786,#3087,#767
ENROL,475,2431,#2713,#13
ENSUE,591,1557,#1982,#1452
ENTER,590,1942,#1991,#428
ENTRY,574,2119,#2130,#168
ENVOY,504,1665,#2560,#1108
EPICS,431,1918,#2878,#486
EPOCH,520,1725,#2469,#918
EQUAL,436,1952,#2862,#406
EQUIP,357,1565,#3040,#1424
ERASE,999,1750,#56,#846
ERECT,704,1748,#1077,#853
ERRED,705,1197,#1069,#2521
ERROR,631,1401,#1674,#1995
ESSAY,489,1816,#2635,#691
ETHER,509,1910,#2534,#499
ETHIC,288,2195,#3091,#95
EVADE,728,1327,#895,#2205
EVENT,543,1462,#2337,#1802
EVERY,561,1420,#2215,#1943
EVILS,406,1964,#2945,#392
EVOKE,661,1081,#1396,#2734
EXACT,638,1797,#1606,#732
EXALT,650,1939,#1506,#436
EXCEL,465,1339,#2764,#2172
EXERT,524,1624,#2451,#1230
EXILE,730,1226,#881,#2465
EXIST,597,1730,#1931,#904
EXITS,391,1936,#2983,#446
EXPEL,460,1255,#2782,#2405
EXTOL,371,2039,#3022,#260
EXTRA,316,2424,#3070,#16
EXULT,514,1699,#2501,#996
EYING,430,1816,#2882,#691
EYRIE,672,1683,#1306,#1045
FABLE,835,1555,#404,#1466
FACED,688,1631,#1180,#1212
FACES,622,1864,#1746,#584
FACTS,499,1689,#2586,#1025
FADED,701,1294,#1102,#2304
FADES,635,1799,#1640,#725
FAILS,664,1637,#1369,#1201
FAINT,862,1443,#310,#1868
FAIRS,664,1788,#1369,#762
FAIRY,880,1401,#262,#1995
FAITH,729,1463,#890,#1795
FAKIR,614,1537,#1802,#1534
FALLS,550,1318,#2292,#2224
FALSE,885,1755,#246,#829
FAMED,686,1525,#1194,#1569
FANCY,778,1126,#634,#2655
FANGS,514,1460,#2501,#1813
FARCE,908,1768,#184,#801
FARED,770,1854,#679,#606
FARES,704,2087,#1077,#207
FARMS,530,1662,#2421,#1118
FASTS,505,1383,#2552,#2061
FATAL,660,1284,#1407,#2326
FATED,727,1785,#910,#771
FATES,661,2018,#1396,#286
FATTY,754,973,#767,#2884
FAULT,771,1455,#670,#1835
FAUNA,632,1044,#1661,#2787
FAUNS,613,1461,#1813,#1810
FAWNS,509,1371,#2534,#2090
FEARS,689,2102,#1175,#186
FEAST,879,1800,#264,#724
FEATS,673,2006,#1288,#307
FEEDS,497,1345,#2596,#2160
FEELS,563,1485,#2203,#1710
FEIGN,630,1497,#1685,#1672
FEINT,822,1599,#446,#1312
FELLS,510,1474,#2531,#1752
FELON,550,1876,#2292,#557
FENCE,845,1014,#366,#2831
FERAL,663,2167,#1377,#119
FERNS,577,1919,#2105,#483
FERRY,773,1167,#659,#2584
FETCH,583,1573,#2047,#1395
FETED,687,1233,#1187,#2450
FETID,590,1699,#1991,#996
FETUS,457,1846,#2788,#624
FEUDS,487,1571,#2646,#1401
FEVER,702,1160,#1098,#2598
FEWER,681,1208,#1229,#2494
FICHE,661,1454,#1396,#1836
FIEFS,434,1509,#2869,#1627
FIELD,590,1660,#1991,#1123
FIEND,610,1566,#1839,#1421
FIERY,740,1657,#834,#1131
FIFES,519,1424,#2473,#1930
FIFTH,477,1020,#2703,#2822
FIFTY,612,862,#1826,#2989
FIGHT,519,1197,#2473,#2521
FILCH,540,1238,#2365,#2438
FILED,644,1606,#1560,#1291
FILES,578,1839,#2090,#637
FILET,756,1739,#754,#873
FILLS,471,1174,#2731,#2570
FILLY,687,787,#1187,#3031
FILMS,404,1414,#2950,#1963
FILMY,620,1027,#1760,#2814
FILTH,536,1435,#2384,#1900
FINAL,601,1665,#1905,#1108
FINCH,564,1140,#2199,#2628
FINDS,429,1371,#2887,#2090
FINED,668,1508,#1334,#1632
FINER,727,1806,#910,#713
FINES,602,1741,#1896,#868
FINIS,505,1025,#2552,#2817
FINNY,731,634,#876,#3073
FIORD,659,1447,#1420,#1856
FIRED,691,1710,#1167,#964
FIRES,625,1943,#1720,#427
FIRMS,451,1518,#2815,#1588
FIRST,708,1562,#1042,#1437
FISHY,560,1123,#2225,#2663
FISTS,426,1239,#2899,#2435
FITLY,691,1257,#1167,#2399
FIVES,538,1503,#2375,#1656
FIXED,575,1217,#2123,#2480
FIXER,634,1515,#1644,#1604
FIXES,509,1450,#2534,#1848
FJORD,517,1121,#2486,#2671
FLAGS,594,1454,#1954,#1836
FLAIL,764,1141,#706,#2627
FLAIR,789,1702,#574,#987
FLAKE,901,1438,#201,#1888
FLAKY,794,998,#551,#2852
FLAME,910,1507,#178,#1639
FLANK,725,1203,#921,#2502
FLAPS,567,1493,#2184,#1687
FLARE,977,1853,#85,#608
FLASH,747,1369,#800,#2101
FLASK,717,1246,#989,#2420
FLATS,638,1704,#1606,#982
FLAWS,553,1401,#2277,#1995
FLEAS,534,2106,#2396,#183
FLECK,567,1397,#2184,#2010
FLEES,635,1413,#1640,#1968
FLEET,813,1313,#484,#2243
FLESH,621,1611,#1752,#1277
FLICK,628,997,#1700,#2854
FLIER,821,1786,#452,#767
FLIES,696,1721,#1136,#933
FLING,613,1177,#1813,#2565
FLINT,787,1297,#583,#2294
FLIRT,767,1542,#693,#1519
FLITS,573,1546,#2140,#1502
FLOAT,781,1642,#621,#1185
FLOCK,636,1033,#1631,#2805
FLOES,704,1757,#1077,#824
FLOOD,637,890,#1622,#2970
FLOOR,696,1188,#1136,#2539
FLORA,616,1919,#1786,#483
FLOSS,609,1061,#1845,#2763
FLOUR,665,1494,#1354,#1683
FLOUT,718,1329,#979,#2198
FLOWN,562,1178,#2210,#2563
FLOWS,496,1279,#2603,#2347
FLUES,625,1639,#1720,#1196
FLUFF,422,581,#2911,#3082
FLUID,594,1164,#1954,#2591
FLUKE,765,1198,#701,#2518
FLUME,774,1267,#653,#2381
FLUNG,542,1095,#2346,#2705
FLUSH,611,1129,#1833,#2645
FLUTE,825,1517,#439,#1597
FLYER,649,1750,#1518,#846
FOAMS,657,1426,#1444,#1925
FOAMY,873,1039,#281,#2794
FOCAL,616,1614,#1786,#1262
FOCUS,453,1362,#2806,#2114
FOGGY,669,549,#1333,#3088
FOILS,659,1463,#1420,#1795
FOIST,849,1312,#354,#2247
FOLDS,479,1439,#2692,#1883
FOLIO,580,1151,#2070,#2611
FOLKS,469,1315,#2740,#2236
FOLLY,761,757,#729,#3042
FOODS,601,887,#1905,#2974
FOOLS,667,1027,#1340,#2814
FORAY,814,1511,#480,#1619
FORCE,903,1594,#194,#1330
FORDS,526,1543,#2436,#1513
FORGE,855,1541,#332,#1522
FORGO,557,1072,#2243,#2745
FORKS,516,1419,#2494,#1947
FORMS,525,1488,#2446,#1700
FORTE,899,1791,#205,#754
FORTH,657,1509,#1444,#1627
FORTS,576,1738,#2112,#878
FORTY,792,1351,#561,#2148
FORUM,542,1355,#2346,#2132
FOUND,674,1054,#1280,#2774
FOUNT,786,1187,#593,#2541
FOURS,588,1532,#2003,#1550
FOWLS,484,1291,#2668,#2310
FOXES,583,1420,#2047,#1943
FOYER,719,1722,#969,#929
FRAIL,820,1671,#460,#1086
FRAME,966,1602,#106,#1301
FRANC,731,1534,#876,#1540
FRANK,781,1298,#621,#2290
FRAUD,719,1413,#969,#1968
FREAK,641,1849,#1583,#617
FREED,757,1275,#746,#2359
FREER,816,963,#473,#2898
FREES,691,1508,#1167,#1632
FRESH,677,1706,#1260,#977
FRETS,568,2041,#2177,#257
FRIAR,776,1256,#639,#2402
FRIED,818,1583,#466,#1362
FRILL,745,1090,#810,#2716
FRISK,708,1183,#1042,#2552
FROCK,692,1128,#1159,#2649
FROGS,593,1427,#1961,#1921
FROND,739,1295,#844,#2302
FRONT,851,1428,#342,#1915
FROST,843,1471,#372,#1763
FROTH,718,1448,#979,#1853
FROWN,618,1273,#1775,#2364
FROZE,872,1317,#283,#2227
FRUIT,762,1392,#723,#2036
FUDGE,695,1147,#1143,#2616
FUELS,507,1757,#2544,#824
FUGUE,688,876,#1180,#2982
FULLY,670,651,#1325,#3069
FUMED,590,1245,#1991,#2424
FUMES,524,1478,#2451,#1737
FUNDS,412,1235,#2933,#2443
FUNGI,397,1238,#2963,#2438
FUNNY,714,498,#1006,#3094
FURRY,717,731,#989,#3053
FURZE,720,1272,#960,#2367
FUSED,598,1460,#1926,#1813
FUSES,532,1278,#2410,#2351
FUSSY,653,610,#1480,#3078
FUZZY,497,312,#2596,#3101
GABLE,830,1634,#423,#1208
GAILY,875,1329,#276,#2198
GAINS,679,1622,#1243,#1236
GALES,652,2062,#1489,#229
GALLS,545,1397,#2325,#2010
GAMES,615,1837,#1794,#641
GAMIN,584,1494,#2034,#1683
GAMMA,460,779,#2782,#3034
GAMUT,629,1409,#1691,#1976
GANGS,509,1314,#2534,#2239
GAPED,678,1626,#1253,#1226
GAPES,612,1859,#1826,#597
GASES,623,1637,#1735,#1201
GASPS,429,1251,#2887,#2415
GATES,656,2097,#1454,#196
GAUDY,738,1107,#848,#2689
GAUGE,851,1267,#342,#2381
GAUNT,786,1440,#593,#1880
GAUZE,807,1329,#503,#2198
GAUZY,700,889,#1109,#2972
GAVEL,712,1665,#1019,#1108
GAWKY,624,893,#1727,#2967
GAYER,719,1975,#969,#361
GAYLY,703,1015,#1088,#2828
GAZED,649,1436,#1518,#1897
GAZER,708,1734,#1042,#893
GAZES,583,1669,#2047,#1093
GEARS,684,2181,#1210,#107
GEESE,893,740,#223,#3049
GENIE,862,1223,#310,#2470
GENII,518,1462,#2482,#1802
GENRE,852,1386,#341,#2052
GENTS,513,1945,#2510,#422
GENUS,472,1792,#2726,#751
GERMS,485,1897,#2656,#522
GHOST,753,1297,#771,#2294
GIANT,843,1536,#372,#1536
GIBES,535,1667,#2388,#1100
GIDDY,594,705,#1954,#3059
GIFTS,391,1473,#2983,#1755
GILDS,400,1548,#2962,#1491
GILLS,466,1253,#2758,#2410
GIMME,685,1105,#1204,#2691
GIPSY,654,1047,#1473,#2782
GIRDS,447,1652,#2828,#1149
GIRLS,513,1792,#2510,#751
GIRTH,578,1618,#2090,#1254
GIVEN,599,1481,#1919,#1725
GIVES,533,1582,#2406,#1368
GLADE,906,1641,#191,#1191
GLAND,735,1401,#867,#1995
GLARE,972,1932,#92,#458
GLASS,661,1262,#1396,#2392
GLAZE,868,1423,#295,#1934
GLEAM,536,1955,#2384,#404
GLEAN,595,2084,#1949,#212
GLENS,543,1876,#2337,#557
GLIDE,841,1483,#382,#1719
GLINT,782,1376,#614,#2081
GLOAT,776,1721,#639,#933
GLOBE,812,1473,#486,#1755
GLOOM,573,972,#2140,#2886
GLORY,808,1370,#499,#2097
GLOSS,604,1140,#1880,#2628
GLOVE,832,1366,#420,#2107
GLOWS,491,1358,#2624,#2125
GLUED,686,1485,#1194,#1710
GNASH,667,1449,#1340,#1850
GNATS,558,1784,#2236,#773
GNAWS,473,1481,#2721,#1725
GNOME,773,1465,#659,#1788
GOADS,653,1560,#1480,#1445
GOALS,719,1700,#969,#995
GOATS,703,1755,#1088,#829
GODLY,734,1087,#869,#2721
GOING,678,1003,#1253,#2843
GOLLY,756,836,#754,#3006
GONGS,504,1140,#2560,#2628
GONNA,603,1311,#1889,#2254
GOODS,596,966,#1942,#2893
GOODY,812,579,#486,#3083
GOOSE,997,1108,#62,#2687
GORED,760,1759,#735,#822
GORGE,850,1395,#346,#2023
GORSE,922,1764,#154,#813
GOTTA,547,1506,#2315,#1641
GOUGE,846,1093,#361,#2709
GOURD,649,1378,#1518,#2076
GOUTY,783,1128,#609,#2649
GOWNS,499,1276,#2586,#2355
GRABS,602,1637,#1896,#1201
GRACE,1016,1734,#42,#893
GRADE,962,1736,#112,#884
GRAFT,793,1484,#558,#1716
GRAIN,781,1710,#621,#964
GRAMS,638,1628,#1606,#1220
GRAND,791,1496,#565,#1675
GRANT,903,1629,#194,#1217
GRAPE,941,1720,#133,#937
GRAPH,699,1438,#1114,#1888
GRASP,734,1551,#869,#1475
GRASS,717,1357,#989,#2128
GRATE,1012,1931,#46,#462
GRAVE,945,1583,#130,#1362
GRAVY,838,1143,#393,#2623
GRAZE,924,1518,#152,#1588
GREAT,763,2180,#710,#110
GREED,752,1354,#777,#2136
GREEN,752,1486,#777,#1706
GREET,864,1487,#304,#1702
GREYS,461,1973,#2778,#365
GRIEF,741,1611,#827,#1277
GRILL,740,1169,#834,#2580
GRIME,896,1523,#214,#1572
GRIMY,789,1083,#574,#2729
GRIND,726,1338,#917,#2175
GRINS,660,1571,#1407,#1401
GRIPE,876,1562,#273,#1437
GRIPS,553,1509,#2277,#1627
GRIST,830,1514,#423,#1608
GROAN,720,1815,#960,#695
GROIN,724,1588,#932,#1345
GROOM,629,1067,#1691,#2751
GROPE,884,1598,#248,#1318
GROSS,660,1235,#1407,#2443
GROUP,608,1382,#1857,#2065
GROVE,888,1461,#236,#1810
GROWL,647,1392,#1538,#2036
GROWN,613,1352,#1813,#2144
GROWS,547,1453,#2315,#1840
GRUBS,466,1397,#2758,#2010
GRUEL,776,1752,#639,#840
GRUFF,473,915,#2721,#2947
GRUNT,767,1389,#693,#2044
GUANO,673,1556,#1288,#1460
GUARD,694,1512,#1150,#1617
GUESS,514,1370,#2501,#2097
GUEST,692,1685,#1159,#1036
GUIDE,820,1349,#460,#2152
GUILD,629,1203,#1691,#2502
GUILE,886,1489,#244,#1698
GUILT,741,1336,#827,#2178
GUISE,898,1438,#208,#1888
GULCH,518,1181,#2482,#2557
GULFS,359,1313,#3036,#2243
GULLS,449,1117,#2822,#2680
GULLY,665,730,#1354,#3054
GUMMY,561,529,#2215,#3090
GUSTO,429,1653,#2887,#1146
GUSTS,404,1182,#2950,#2554
GUSTY,620,1210,#1760,#2492
GYPSY,521,694,#2465,#3062
HABIT,654,1578,#1473,#1382
HACKS,393,1558,#2976,#1450
HAILS,618,1825,#1775,#670
HAIRS,618,1976,#1775,#359
HAIRY,834,1589,#407,#1343
HALED,677,1938,#1260,#440
HALLS,504,1506,#2560,#1641
HALTS,488,1996,#2643,#323
HALVE,744,1701,#817,#990
HANDS,462,1703,#2774,#984
HANDY,678,1316,#1253,#2232
HANGS,468,1648,#2747,#1162
HAPPY,593,963,#1961,#2898
HARDY,701,1518,#1102,#1588
HAREM,665,2045,#1354,#253
HARES,658,2275,#1438,#55
HARMS,484,1850,#2668,#613
HARPS,464,1889,#2767,#536
HARPY,680,1502,#1238,#1658
HARRY,767,1199,#693,#2515
HARSH,644,1472,#1560,#1759
HARTS,535,2100,#2388,#189
HASTE,782,2039,#614,#260
HASTY,675,1599,#1274,#1312
HATCH,577,1312,#2105,#2247
HATED,681,1973,#1229,#365
HATER,740,2271,#834,#57
HAULS,547,1743,#2315,#861
HAVEN,637,1734,#1622,#893
HAVOC,439,1557,#2853,#1452
HAWKS,367,1389,#3024,#2044
HAZEL,642,1717,#1577,#944
HEADS,577,1999,#2105,#318
HEADY,793,1612,#558,#1271
HEALS,643,2139,#1571,#147
HEAPS,556,1983,#2250,#343
HEARD,709,2057,#1035,#236
HEARS,643,2290,#1571,#50
HEART,821,2190,#452,#101
HEATH,708,1672,#1042,#1081
HEATS,627,2194,#1706,#97
HEAVE,883,1191,#254,#2529
HEAVY,776,1459,#639,#1819
HEDGE,705,1063,#1069,#2759
HEEDS,451,1533,#2815,#1545
HEELS,517,1673,#2486,#1077
HEIRS,578,2132,#2090,#154
HELIX,456,1684,#2793,#1040
HELLO,489,1718,#2635,#942
HELMS,397,1902,#2963,#515
HELPS,377,1941,#3008,#432
HENCE,799,1202,#531,#2509
HERBS,408,2015,#2941,#289
HERDS,445,2061,#2834,#231
HERON,551,2168,#2289,#117
HEROS,485,2269,#2656,#59
HEWED,576,1098,#2112,#2701
HIDES,510,1843,#2531,#630
HILLS,425,1362,#2903,#2114
HILLY,641,975,#1583,#2883
HILTS,409,1852,#2937,#610
HINDS,383,1559,#2997,#1449
HINGE,712,1557,#1019,#1452
HINTS,433,1754,#2871,#834
HIRED,645,1898,#1553,#521
HIRES,579,2131,#2076,#157
HITCH,498,1168,#2593,#2583
HIVES,492,1691,#2618,#1019
HOARD,744,1727,#817,#913
HOARY,894,1573,#220,#1395
HOBBY,574,751,#2130,#3046
HOIST,803,1500,#518,#1663
HOLDS,433,1627,#2871,#1222
HOLES,606,1997,#1872,#321
HOLLY,715,945,#1001,#2927
HOMES,569,1772,#2171,#796
HONEY,846,1512,#361,#1617
HOODS,555,1075,#2263,#2742
HOOFS,531,976,#2416,#2881
HOOKS,545,951,#2325,#2914
HOOPS,534,1059,#2396,#2766
HOOTS,605,1270,#1877,#2371
HOPED,632,1561,#1661,#1442
HOPES,566,1794,#2188,#741
HORDE,803,1784,#518,#773
HORNS,566,1777,#2188,#784
HORNY,782,1390,#614,#2040
HORSE,881,1873,#259,#566
HOSTS,454,1397,#2802,#2010
HOTEL,710,1971,#1031,#372
HOTLY,719,1415,#969,#1956
HOUND,628,1242,#1700,#2427
HOURS,542,1720,#2346,#937
HOUSE,877,1571,#269,#1401
HOVEL,666,1600,#1347,#1310
HOVER,691,1726,#1167,#915
HOWLS,438,1479,#2856,#1735
HULKS,332,1397,#3059,#2010
HULLS,408,1226,#2941,#2465
HUMAN,443,1550,#2842,#1480
HUMID,447,1191,#2828,#2529
HUMPS,284,1280,#3092,#2341
HUMUS,314,1009,#3073,#2835
HUNCH,501,899,#2577,#2965
HUNTS,416,1618,#2925,#1254
HURLS,455,1765,#2797,#810
HURRY,671,919,#1317,#2946
HURTS,439,1820,#2853,#683
HUSKS,303,972,#3083,#2886
HUSKY,519,1000,#2473,#2850
HUSSY,607,798,#1862,#3023
HYDRA,289,1930,#3090,#464
HYENA,384,2153,#2995,#136
HYMNS,275,1403,#3095,#1986
ICILY,613,995,#1813,#2858
ICING,421,1068,#2914,#2749
IDEAL,430,2370,#2882,#24
IDEAS,330,2431,#3060,#13
IDIOM,366,1180,#3025,#2559
IDIOT,537,1310,#2379,#2256
IDLED,444,1657,#2838,#1131
IDLER,503,2227,#2568,#77
IDOLS,393,1852,#2976,#610
IDYLL,313,1284,#3077,#2326
IGLOO,265,1540,#3097,#1525
IMAGE,725,1764,#921,#813
IMBUE,511,1568,#2523,#1412
IMPEL,450,1830,#2819,#655
IMPLY,459,1274,#2785,#2361
INANE,850,1612,#346,#1271
INCUR,361,1855,#3034,#601
INDEX,395,1652,#2971,#1149
INEPT,472,2035,#2726,#268
INERT,559,2342,#2228,#31
INFER,501,2032,#2577,#271
INGOT,448,1752,#2825,#840
INLET,613,2137,#1813,#150
INNER,584,1808,#2034,#711
INTER,564,2337,#2199,#33
INURE,694,2013,#1150,#294
IRATE,945,2251,#130,#64
IRKED,561,1829,#2215,#657
IRONS,601,1927,#1905,#467
IRONY,817,1540,#467,#1525
ISLES,377,1915,#3008,#489
ISLET,555,2230,#2263,#76
ISSUE,507,1630,#2544,#1216
ITEMS,307,2216,#3080,#84
IVORY,604,1451,#1880,#1842
JACKS,351,1317,#3046,#2227
JADED,613,1241,#1813,#2431
JAILS,576,1584,#2112,#1359
JAUNT,703,1308,#1088,#2264
JEANS,621,1804,#1752,#716
JEERS,475,1583,#2713,#1362
JELLY,638,1034,#1606,#2804
JERKS,393,1696,#2976,#1002
JERKY,609,1309,#1845,#2260
JESTS,377,1486,#3008,#1706
JETTY,626,1076,#1714,#2740
JEWEL,568,1029,#2177,#2811
JIFFY,450,515,#2819,#3093
JOINS,591,1316,#1982,#2232
JOINT,769,1216,#683,#2483
JOKED,559,1254,#2228,#2407
JOKER,618,1552,#1775,#1472
JOKES,493,1487,#2613,#1702
JOLLY,673,704,#1288,#3060
JOUST,690,1177,#1173,#2565
JOYED,572,1371,#2149,#2090
JUDGE,607,1094,#1862,#2706
JUICE,791,1215,#565,#2484
JUICY,684,775,#1210,#3036
JUMPS,242,1039,#3100,#2794
JUNKS,314,1058,#3073,#2768
JUNTA,393,1618,#2976,#1254
JUROR,512,1047,#2518,#2782
KARMA,466,1317,#2758,#2227
KEELS,480,1557,#2685,#1452
KEEPS,393,1401,#2976,#1995
KETCH,500,1645,#2582,#1173
KEYED,542,1118,#2346,#2679
KHAKI,445,1213,#2834,#2488
KICKS,277,1154,#3093,#2607
KILLS,388,1246,#2991,#2420
KINDA,365,1684,#3030,#1040
KINDS,346,1443,#3050,#1868
KINGS,352,1388,#3044,#2048
KIOSK,573,1054,#2140,#2774
KITES,499,1946,#2586,#417
KNACK,535,1084,#2388,#2724
KNAVE,736,1482,#862,#1723
KNEAD,442,1946,#2846,#417
KNEEL,577,1425,#2105,#1928
KNEES,477,1486,#2703,#1706
KNELL,470,1468,#2739,#1776
KNELT,548,1864,#2310,#584
KNIFE,664,1378,#1369,#2076
KNITS,415,1619,#2927,#1250
KNOBS,336,1414,#3056,#1963
KNOCK,478,962,#2698,#2903
KNOLL,539,1104,#2372,#2692
KNOTS,423,1655,#2907,#1138
KNOWN,404,855,#2950,#2995
KNOWS,338,1352,#3054,#2144
LABEL,689,1595,#1175,#1328
LACED,658,1990,#1438,#336
LACES,592,2223,#1973,#80
LACKS,409,1729,#2937,#907
LADEN,671,2057,#1317,#236
LADLE,821,1546,#452,#1502
LAGER,720,2184,#960,#105
LAIRS,634,2147,#1644,#139
LAITY,834,1664,#407,#1114
LAKES,556,2073,#2250,#221
LAMBS,380,1701,#3002,#990
LAMED,656,1884,#1454,#545
LAMES,590,2117,#1991,#171
LAMPS,396,1731,#2969,#899
LANCE,855,1925,#332,#471
LANDS,478,1874,#2698,#563
LANES,651,2244,#1494,#70
LANKY,684,1363,#1210,#2110
LAPEL,687,1643,#1187,#1182
LAPSE,815,1911,#477,#497
LARCH,636,1845,#1631,#627
LARGE,830,2074,#423,#220
LARGO,532,2077,#2410,#217
LARKS,491,1952,#2624,#406
LARVA,503,1506,#2568,#1641
LASSO,528,1692,#2430,#1014
LASTS,475,1742,#2713,#865
LATCH,593,1776,#1961,#786
LATER,756,2442,#754,#11
LATHE,749,2111,#792,#180
LATHS,426,2058,#2899,#234
LAUGH,584,1490,#2034,#1693
LAWNS,479,1730,#2692,#904
LAYER,694,2255,#1150,#62
LEADS,593,2170,#1961,#114
LEAFY,785,1684,#602,#1040
LEAKS,583,2046,#2047,#252
LEAKY,799,1659,#531,#1127
LEANS,679,2216,#1243,#84
LEAPS,572,2154,#2149,#134
LEAPT,750,2054,#785,#241
LEARN,725,2360,#921,#26
LEASE,994,1604,#67,#1295
LEASH,752,2030,#777,#273
LEAST,849,2159,#354,#130
LEAVE,899,1362,#205,#2114
LEDGE,721,1234,#952,#2448
LEECH,602,1473,#1896,#1755
LEEKS,457,1580,#2788,#1377
LEGAL,554,1764,#2271,#813
LEMME,699,977,#1114,#2880
LEMON,483,2010,#2672,#300
LENDS,438,2030,#2856,#273
LEPER,672,1652,#1306,#1149
LEVEE,870,681,#289,#3066
LEVEL,647,958,#1538,#2908
LEVER,672,1519,#1306,#1584
LIARS,620,2161,#1760,#127
LIBEL,610,1451,#1839,#1842
LICKS,330,1585,#3060,#1356
LIEGE,757,1402,#746,#1989
LIENS,514,2158,#2501,#131
LIFTS,366,1753,#3025,#837
LIGHT,489,1556,#2635,#1460
LIKED,543,1696,#2337,#1002
LIKEN,543,1828,#2337,#663
LIKER,602,1994,#1896,#327
LIKES,477,1929,#2703,#465
LILAC,448,1632,#2825,#1209
LIMBO,326,1613,#3066,#1265
LIMBS,301,1557,#3086,#1452
LIMES,511,1973,#2523,#365
LIMIT,592,1157,#1973,#2601
LINED,638,1867,#1606,#577
LINEN,638,1603,#1606,#1298
LINER,697,2165,#1126,#122
LINES,572,2100,#2149,#189
LINGO,430,1731,#2882,#899
LINKS,389,1606,#2987,#1291
LIONS,583,1794,#2047,#741
LISTS,396,1598,#2969,#1318
LITHE,670,1967,#1325,#383
LIVED,574,1629,#2130,#1217
LIVER,633,1927,#1649,#467
LIVES,508,1862,#2543,#588
LIVID,477,913,#2703,#2948
LLAMA,576,961,#2112,#2905
LOADS,628,1840,#1700,#634
LOAMY,843,1398,#372,#2008
LOANS,714,1886,#1006,#543
LOATH,759,1806,#740,#713
LOBBY,590,922,#1991,#2942
LOBES,584,1917,#2034,#487
LOCAL,586,1538,#2016,#1531
LOCKS,404,1555,#2950,#1466
LOCUS,423,1721,#2907,#933
LODGE,756,1612,#754,#1271
LOFTY,656,1336,#1454,#2178
LOGES,590,1945,#1991,#422
LOGIC,494,1587,#2610,#1350
LOGIN,559,1602,#2228,#1301
LOINS,649,1728,#1518,#909
LONGS,479,1645,#2692,#1173
LOOKS,561,1122,#2215,#2669
LOOMS,570,1191,#2166,#2529
LOONS,657,1292,#1444,#2307
LOOPS,550,1230,#2292,#2458
LOOSE,972,1388,#92,#2048
LORDS,496,1902,#2603,#515
LOSER,718,2223,#979,#80
LOSES,593,1743,#1961,#861
LOTUS,462,1875,#2774,#561
LOUSE,893,1742,#223,#865
LOUSY,786,1302,#593,#2276
LOVED,648,1599,#1526,#1312
LOVER,707,1897,#1049,#522
LOVES,582,1832,#2057,#651
LOWED,627,1647,#1706,#1166
LOWER,686,1945,#1194,#422
